photo_id,env_id,slot,seq_in_env,filename,group,triplet_type,left_class,right_class,left_code,right_code,expected_label_sequence,hand_rotation_deg,annotations_expected,captured,mask_done,qa_pass,notes
P01,E01,S1,1,E01_P01.jpg,fold0,diagonal,openhand,openhand,O,O,1 1,0,2,,,,
P02,E01,S1,2,E01_P02.jpg,fold0,diagonal,closedhand,closedhand,C,C,2 2,30,2,,,,
P03,E01,S1,3,E01_P03.jpg,fold0,diagonal,thumbout,thumbout,T,T,0 0,60,2,,,,
P04,E02,S2,1,E02_P04.jpg,fold0,cycleA,openhand,closedhand,O,C,1 2,0,2,,,,
P05,E02,S2,2,E02_P05.jpg,fold0,cycleA,closedhand,thumbout,C,T,2 0,30,2,,,,
P06,E02,S2,3,E02_P06.jpg,fold0,cycleA,thumbout,openhand,T,O,0 1,60,2,,,,
P07,E02,S2,4,E02_P07.jpg,fold0,cycleB,openhand,thumbout,O,T,1 0,60,2,,,,
P08,E02,S2,5,E02_P08.jpg,fold0,cycleB,thumbout,closedhand,T,C,0 2,30,2,,,,
P09,E02,S2,6,E02_P09.jpg,fold0,cycleB,closedhand,openhand,C,O,2 1,0,2,,,,
P10,E03,S3,1,E03_P10.jpg,fold0,cycleA,openhand,closedhand,O,C,1 2,0,2,,,,
P11,E03,S3,2,E03_P11.jpg,fold0,cycleA,closedhand,thumbout,C,T,2 0,30,2,,,,
P12,E03,S3,3,E03_P12.jpg,fold0,cycleA,thumbout,openhand,T,O,0 1,60,2,,,,
P13,E03,S3,4,E03_P13.jpg,fold0,cycleB,openhand,thumbout,O,T,1 0,60,2,,,,
P14,E03,S3,5,E03_P14.jpg,fold0,cycleB,thumbout,closedhand,T,C,0 2,30,2,,,,
P15,E03,S3,6,E03_P15.jpg,fold0,cycleB,closedhand,openhand,C,O,2 1,0,2,,,,
P16,E04,S1,1,E04_P16.jpg,fold1,diagonal,closedhand,closedhand,C,C,2 2,0,2,,,,
P17,E04,S1,2,E04_P17.jpg,fold1,diagonal,thumbout,thumbout,T,T,0 0,30,2,,,,
P18,E04,S1,3,E04_P18.jpg,fold1,diagonal,openhand,openhand,O,O,1 1,60,2,,,,
P19,E05,S2,1,E05_P19.jpg,fold1,cycleA,openhand,closedhand,O,C,1 2,0,2,,,,
P20,E05,S2,2,E05_P20.jpg,fold1,cycleA,closedhand,thumbout,C,T,2 0,30,2,,,,
P21,E05,S2,3,E05_P21.jpg,fold1,cycleA,thumbout,openhand,T,O,0 1,60,2,,,,
P22,E05,S2,4,E05_P22.jpg,fold1,cycleB,openhand,thumbout,O,T,1 0,60,2,,,,
P23,E05,S2,5,E05_P23.jpg,fold1,cycleB,thumbout,closedhand,T,C,0 2,30,2,,,,
P24,E05,S2,6,E05_P24.jpg,fold1,cycleB,closedhand,openhand,C,O,2 1,0,2,,,,
P25,E06,S3,1,E06_P25.jpg,fold1,cycleA,openhand,closedhand,O,C,1 2,0,2,,,,
P26,E06,S3,2,E06_P26.jpg,fold1,cycleA,closedhand,thumbout,C,T,2 0,30,2,,,,
P27,E06,S3,3,E06_P27.jpg,fold1,cycleA,thumbout,openhand,T,O,0 1,60,2,,,,
P28,E06,S3,4,E06_P28.jpg,fold1,cycleB,openhand,thumbout,O,T,1 0,60,2,,,,
P29,E06,S3,5,E06_P29.jpg,fold1,cycleB,thumbout,closedhand,T,C,0 2,30,2,,,,
P30,E06,S3,6,E06_P30.jpg,fold1,cycleB,closedhand,openhand,C,O,2 1,0,2,,,,
P31,E07,S1,1,E07_P31.jpg,fold2,diagonal,thumbout,thumbout,T,T,0 0,0,2,,,,
P32,E07,S1,2,E07_P32.jpg,fold2,diagonal,openhand,openhand,O,O,1 1,30,2,,,,
P33,E07,S1,3,E07_P33.jpg,fold2,diagonal,closedhand,closedhand,C,C,2 2,60,2,,,,
P34,E08,S2,1,E08_P34.jpg,fold2,cycleA,openhand,closedhand,O,C,1 2,0,2,,,,
P35,E08,S2,2,E08_P35.jpg,fold2,cycleA,closedhand,thumbout,C,T,2 0,30,2,,,,
P36,E08,S2,3,E08_P36.jpg,fold2,cycleA,thumbout,openhand,T,O,0 1,60,2,,,,
P37,E08,S2,4,E08_P37.jpg,fold2,cycleB,openhand,thumbout,O,T,1 0,60,2,,,,
P38,E08,S2,5,E08_P38.jpg,fold2,cycleB,thumbout,closedhand,T,C,0 2,30,2,,,,
P39,E08,S2,6,E08_P39.jpg,fold2,cycleB,closedhand,openhand,C,O,2 1,0,2,,,,
P40,E09,S3,1,E09_P40.jpg,fold2,cycleA,openhand,closedhand,O,C,1 2,0,2,,,,
P41,E09,S3,2,E09_P41.jpg,fold2,cycleA,closedhand,thumbout,C,T,2 0,30,2,,,,
P42,E09,S3,3,E09_P42.jpg,fold2,cycleA,thumbout,openhand,T,O,0 1,60,2,,,,
P43,E09,S3,4,E09_P43.jpg,fold2,cycleB,openhand,thumbout,O,T,1 0,60,2,,,,
P44,E09,S3,5,E09_P44.jpg,fold2,cycleB,thumbout,closedhand,T,C,0 2,30,2,,,,
P45,E09,S3,6,E09_P45.jpg,fold2,cycleB,closedhand,openhand,C,O,2 1,0,2,,,,
P46,E10,S1,1,E10_P46.jpg,test,diagonal,openhand,openhand,O,O,1 1,0,2,,,,
P47,E10,S1,2,E10_P47.jpg,test,diagonal,thumbout,thumbout,T,T,0 0,30,2,,,,
P48,E10,S1,3,E10_P48.jpg,test,diagonal,closedhand,closedhand,C,C,2 2,60,2,,,,
P49,E11,S2,1,E11_P49.jpg,test,cycleA,openhand,closedhand,O,C,1 2,0,2,,,,
P50,E11,S2,2,E11_P50.jpg,test,cycleA,closedhand,thumbout,C,T,2 0,30,2,,,,
P51,E11,S2,3,E11_P51.jpg,test,cycleA,thumbout,openhand,T,O,0 1,60,2,,,,
P52,E11,S2,4,E11_P52.jpg,test,cycleB,openhand,thumbout,O,T,1 0,60,2,,,,
