place,group,n_photos,thumbout,openhand,closedhand,photos
E01,fold0,3,2,3,1,Photo on 2026-08-11 at 13.18|Photo on 2026-08-11 at 18.41|Photo on 2026-08-11 at 13.19 #2
E02,fold0,6,3,4,5,Photo on 2026-08-11 at 13.20|Photo on 2026-08-11 at 13.21|Photo on 2026-08-11 at 13.21 #2|Photo on 2026-08-11 at 13.22|Photo on 2026-08-11 at 13.22 #2|Photo on 2026-08-11 at 13.24
E03,fold0,6,5,3,4,Photo on 2026-08-11 at 13.24 #2|Photo on 2026-08-11 at 13.24 #3|Photo on 2026-08-11 at 13.25|Photo on 2026-08-11 at 13.25 #2|Photo on 2026-08-11 at 13.25 #4|Photo on 2026-08-11 at 13.26
E04,fold1,3,0,3,3,Photo on 2026-08-11 at 18.39|Photo on 2026-08-11 at 13.27 #2|Photo on 2026-08-11 at 13.28 #2
E05,fold1,6,4,4,4,Photo on 2026-08-11 at 13.28 #3|Photo on 2026-08-11 at 13.29|Photo on 2026-08-11 at 13.29 #2|Photo on 2026-08-11 at 13.29 #3|Photo on 2026-08-11 at 13.30|Photo on 2026-08-11 at 13.31
E06,fold1,6,6,3,3,Photo on 2026-08-11 at 13.32|Photo on 2026-08-11 at 13.32 #2|Photo on 2026-08-11 at 13.32 #3|Photo on 2026-08-11 at 13.32 #4|Photo on 2026-08-11 at 13.32 #5|Photo on 2026-08-11 at 13.36
E07,fold2,3,2,2,2,Photo on 2026-08-11 at 13.36 #2|Photo on 2026-08-11 at 13.36 #3|Photo on 2026-08-11 at 18.43
E08,fold2,6,4,4,4,Photo on 2026-08-11 at 13.37 #3|Photo on 2026-08-11 at 13.38|Photo on 2026-08-11 at 13.38 #2|Photo on 2026-08-11 at 13.38 #3|Photo on 2026-08-11 at 13.38 #4|Photo on 2026-08-11 at 13.39
E09,fold2,6,4,4,4,Photo on 2026-08-11 at 13.39 #2|Photo on 2026-08-11 at 13.39 #3|Photo on 2026-08-11 at 13.40|Photo on 2026-08-11 at 13.40 #2|Photo on 2026-08-11 at 13.40 #3|Photo on 2026-08-11 at 13.40 #4
E10,test,3,0,2,4,Photo on 2026-08-11 at 13.42|Photo on 2026-08-11 at 18.27|Photo on 2026-08-11 at 13.42 #3
E11,test,6,5,4,3,Photo on 2026-08-11 at 13.43|Photo on 2026-08-11 at 13.43 #2|Photo on 2026-08-11 at 13.43 #3|Photo on 2026-08-11 at 13.45|Photo on 2026-08-11 at 13.45 #2|Photo on 2026-08-11 at 13.45 #3
E12,test,6,5,4,3,Photo on 2026-08-11 at 13.46|Photo on 2026-08-11 at 13.46 #2|Photo on 2026-08-11 at 13.47|Photo on 2026-08-11 at 13.47 #2|Photo on 2026-08-11 at 13.47 #3|Photo on 2026-08-11 at 13.47 #4
