id,original,place,group,width,height,left_class,right_class,left_area,right_area,label_sequence
e01_p01,Photo on 2026-08-11 at 13.18.jpg,E01,fold0,2238,1492,openhand,openhand,163769,148991,1 1
e01_p02,Photo on 2026-08-11 at 18.41.jpg,E01,fold0,2238,1492,closedhand,openhand,69670,167266,2 1
e01_p03,Photo on 2026-08-11 at 13.19 #2.jpg,E01,fold0,2238,1492,thumbout,thumbout,109864,150104,0 0
e02_p01,Photo on 2026-08-11 at 13.20.jpg,E02,fold0,2238,1492,closedhand,openhand,167327,249860,2 1
e02_p02,Photo on 2026-08-11 at 13.21.jpg,E02,fold0,2238,1492,thumbout,closedhand,150843,176338,0 2
e02_p03,Photo on 2026-08-11 at 13.21 #2.jpg,E02,fold0,2238,1492,openhand,thumbout,356917,171970,1 0
e02_p04,Photo on 2026-08-11 at 13.22.jpg,E02,fold0,2238,1492,closedhand,thumbout,105261,129273,2 0
e02_p05,Photo on 2026-08-11 at 13.22 #2.jpg,E02,fold0,2238,1492,openhand,closedhand,404711,177695,1 2
e02_p06,Photo on 2026-08-11 at 13.24.jpg,E02,fold0,2238,1492,closedhand,openhand,160392,297196,2 1
e03_p01,Photo on 2026-08-11 at 13.24 #2.jpg,E03,fold0,2238,1492,thumbout,closedhand,81651,121159,0 2
e03_p02,Photo on 2026-08-11 at 13.24 #3.jpg,E03,fold0,2238,1492,openhand,thumbout,324267,194604,1 0
e03_p03,Photo on 2026-08-11 at 13.25.jpg,E03,fold0,2238,1492,thumbout,openhand,80367,288914,0 1
e03_p04,Photo on 2026-08-11 at 13.25 #2.jpg,E03,fold0,2238,1492,thumbout,thumbout,110813,166138,0 0
e03_p05,Photo on 2026-08-11 at 13.25 #4.jpg,E03,fold0,2238,1492,openhand,closedhand,246088,133559,1 2
e03_p06,Photo on 2026-08-11 at 13.26.jpg,E03,fold0,2238,1492,closedhand,closedhand,86889,84782,2 2
e04_p01,Photo on 2026-08-11 at 18.39.jpg,E04,fold1,2238,1492,closedhand,closedhand,122460,112812,2 2
e04_p02,Photo on 2026-08-11 at 13.27 #2.jpg,E04,fold1,2238,1492,openhand,openhand,174697,240445,1 1
e04_p03,Photo on 2026-08-11 at 13.28 #2.jpg,E04,fold1,2238,1492,closedhand,openhand,104139,184248,2 1
e05_p01,Photo on 2026-08-11 at 13.28 #3.jpg,E05,fold1,2238,1492,thumbout,closedhand,59338,87340,0 2
e05_p02,Photo on 2026-08-11 at 13.29.jpg,E05,fold1,2238,1492,openhand,thumbout,193451,106875,1 0
e05_p03,Photo on 2026-08-11 at 13.29 #2.jpg,E05,fold1,2238,1492,thumbout,openhand,66632,183539,0 1
e05_p04,Photo on 2026-08-11 at 13.29 #3.jpg,E05,fold1,2238,1492,closedhand,thumbout,81257,112639,2 0
e05_p05,Photo on 2026-08-11 at 13.30.jpg,E05,fold1,2238,1492,openhand,closedhand,244027,107389,1 2
e05_p06,Photo on 2026-08-11 at 13.31.jpg,E05,fold1,2238,1492,closedhand,openhand,86348,153265,2 1
e06_p01,Photo on 2026-08-11 at 13.32.jpg,E06,fold1,2238,1492,thumbout,closedhand,71768,104340,0 2
e06_p02,Photo on 2026-08-11 at 13.32 #2.jpg,E06,fold1,2238,1492,openhand,thumbout,153661,145722,1 0
e06_p03,Photo on 2026-08-11 at 13.32 #3.jpg,E06,fold1,2238,1492,thumbout,openhand,110335,223018,0 1
e06_p04,Photo on 2026-08-11 at 13.32 #4.jpg,E06,fold1,2238,1492,closedhand,thumbout,66933,93506,2 0
