filename,status,session,left_class,right_class,reason
Photo on 2026-08-11 at 13.18.jpg,in-set,primary-13xx,openhand,openhand,original
Photo on 2026-08-11 at 13.19.jpg,in-set,primary-13xx,closedhand,closedhand,original
Photo on 2026-08-11 at 13.20.jpg,in-set,primary-13xx,closedhand,openhand,original
Photo on 2026-08-11 at 13.21.jpg,in-set,primary-13xx,thumbout,closedhand,original
Photo on 2026-08-11 at 13.21 #2.jpg,in-set,primary-13xx,openhand,thumbout,original
Photo on 2026-08-11 at 13.22.jpg,in-set,primary-13xx,closedhand,thumbout,original
Photo on 2026-08-11 at 13.22 #2.jpg,in-set,primary-13xx,openhand,closedhand,original
Photo on 2026-08-11 at 13.24.jpg,in-set,primary-13xx,closedhand,openhand,original
Photo on 2026-08-11 at 13.24 #2.jpg,in-set,primary-13xx,thumbout,closedhand,original
Photo on 2026-08-11 at 13.24 #3.jpg,in-set,primary-13xx,openhand,thumbout,original
Photo on 2026-08-11 at 13.25 #4.jpg,in-set,primary-13xx,openhand,closedhand,original
Photo on 2026-08-11 at 13.26.jpg,in-set,primary-13xx,closedhand,closedhand,original
Photo on 2026-08-11 at 13.27 #2.jpg,in-set,primary-13xx,openhand,openhand,original
Photo on 2026-08-11 at 13.28 #2.jpg,in-set,primary-13xx,closedhand,openhand,original
Photo on 2026-08-11 at 13.28 #3.jpg,in-set,primary-13xx,thumbout,closedhand,original
Photo on 2026-08-11 at 13.29.jpg,in-set,primary-13xx,openhand,thumbout,original
Photo on 2026-08-11 at 13.29 #3.jpg,in-set,primary-13xx,closedhand,thumbout,original
Photo on 2026-08-11 at 13.30.jpg,in-set,primary-13xx,openhand,closedhand,original
Photo on 2026-08-11 at 13.31.jpg,in-set,primary-13xx,closedhand,openhand,original
Photo on 2026-08-11 at 13.32.jpg,in-set,primary-13xx,thumbout,closedhand,original
Photo on 2026-08-11 at 13.32 #2.jpg,in-set,primary-13xx,openhand,thumbout,original
Photo on 2026-08-11 at 13.32 #4.jpg,in-set,primary-13xx,closedhand,thumbout,original
Photo on 2026-08-11 at 13.32 #5.jpg,in-set,primary-13xx,openhand,closedhand,original
Photo on 2026-08-11 at 13.36.jpg,in-set,primary-13xx,thumbout,thumbout,original
Photo on 2026-08-11 at 13.36 #2.jpg,in-set,primary-13xx,openhand,openhand,original
Photo on 2026-08-11 at 13.36 #3.jpg,in-set,primary-13xx,thumbout,closedhand,original
Photo on 2026-08-11 at 13.37 #2.jpg,in-set,primary-13xx,thumbout,openhand,original
Photo on 2026-08-11 at 13.37 #3.jpg,in-set,primary-13xx,thumbout,closedhand,original
Photo on 2026-08-11 at 13.38.jpg,in-set,primary-13xx,openhand,thumbout,original
Photo on 2026-08-11 at 13.38 #2.jpg,in-set,primary-13xx,thumbout,openhand,original
Photo on 2026-08-11 at 13.38 #3.jpg,in-set,primary-13xx,closedhand,thumbout,original
Photo on 2026-08-11 at 13.38 #4.jpg,in-set,primary-13xx,openhand,closedhand,original
Photo on 2026-08-11 at 13.39.jpg,in-set,primary-13xx,closedhand,openhand,original
Photo on 2026-08-11 at 13.39 #2.jpg,in-set,primary-13xx,closedhand,openhand,original
Photo on 2026-08-11 at 13.39 #3.jpg,in-set,primary-13xx,thumbout,closedhand,original
Photo on 2026-08-11 at 13.40.jpg,in-set,primary-13xx,openhand,thumbout,original
