stem,idx,side,cls,value,area,area_frac,aspect,align,shift,shift_px,n_hands,seq,note
Photo on 2026-08-11 at 16.45,0,left,thumbout,200,115514,0.03459,1.682,1.0,"+0,+0",0,2,0 2,
Photo on 2026-08-11 at 16.45,1,right,closedhand,255,112121,0.03358,0.951,0.951,"+0,-2",2,2,0 2,
Photo on 2026-08-11 at 16.46 #2,0,left,thumbout,200,73850,0.02212,2.036,1.0,"+0,+0",0,2,0 2,
Photo on 2026-08-11 at 16.46 #2,1,right,closedhand,255,103365,0.03096,1.057,0.99,"-2,+0",2,2,0 2,
Photo on 2026-08-11 at 16.46,0,left,openhand,100,209071,0.06261,0.809,1.0,"+0,+0",0,2,1 2,
Photo on 2026-08-11 at 16.46,1,right,closedhand,255,130083,0.03896,1.009,1.0,"+0,+0",0,2,1 2,
Photo on 2026-08-11 at 16.49 #2,0,left,openhand,100,162336,0.04862,0.841,1.0,"+0,+0",0,2,1 2,
Photo on 2026-08-11 at 16.49 #2,1,right,closedhand,255,100758,0.03018,0.962,1.0,"+0,+0",0,2,1 2,
Photo on 2026-08-11 at 16.49 #3,0,left,closedhand,255,113144,0.03388,0.928,1.0,"+0,+0",0,2,2 1,
Photo on 2026-08-11 at 16.49 #3,1,right,openhand,100,210055,0.06291,0.96,1.0,"+0,+0",0,2,2 1,
Photo on 2026-08-11 at 16.49,0,left,closedhand,255,75176,0.02251,0.997,1.0,"+0,+0",0,1,2,
