stem,idx,side,cls,value,area,area_frac,aspect,align,shift,shift_px,n_hands,seq,note
Photo on 2026-08-11 at 13.18,0,left,openhand,100,163769,0.04905,0.802,1.0,"+0,+0",0,2,1 1,
Photo on 2026-08-11 at 13.18,1,right,openhand,100,148991,0.04462,0.783,1.0,"+0,+0",0,2,1 1,
Photo on 2026-08-11 at 13.19 #2,0,left,thumbout,200,109864,0.0329,2.309,0.939,"+8,-2",8,2,0 0,
Photo on 2026-08-11 at 13.19 #2,1,right,thumbout,200,150104,0.04495,1.98,0.928,"-2,+0",2,2,0 0,
Photo on 2026-08-11 at 13.20,0,left,closedhand,255,167327,0.05011,1.06,0.723,"+0,-2",2,2,2 1,
Photo on 2026-08-11 at 13.20,1,right,openhand,100,249860,0.07483,0.896,0.926,"-2,-2",2,2,2 1,
Photo on 2026-08-11 at 13.21 #2,0,left,openhand,100,356917,0.10689,0.819,0.776,"-7,-7",9,2,1 0,misaligned~9px
Photo on 2026-08-11 at 13.21 #2,1,right,thumbout,200,171970,0.0515,1.921,0.948,"+0,-2",2,2,1 0,
Photo on 2026-08-11 at 13.21,0,left,thumbout,200,150843,0.04517,2.003,0.966,"-2,+0",2,2,0 2,
Photo on 2026-08-11 at 13.21,1,right,closedhand,255,176338,0.05281,0.913,0.801,"-7,+0",7,2,0 2,
Photo on 2026-08-11 at 13.22 #2,0,left,openhand,100,404711,0.1212,0.877,0.525,"+8,+0",8,2,1 2,"misaligned~8px,CLIPPED-BY-FRAME"
Photo on 2026-08-11 at 13.22 #2,1,right,closedhand,255,177695,0.05322,0.99,0.522,"-7,+3",7,2,1 2,misaligned~7px
Photo on 2026-08-11 at 13.22,0,left,closedhand,255,105261,0.03152,1.178,0.629,"-2,-7",7,2,2 0,misaligned~7px
Photo on 2026-08-11 at 13.22,1,right,thumbout,200,129273,0.03871,1.766,0.752,"-7,-2",7,2,2 0,misaligned~7px
Photo on 2026-08-11 at 13.24 #2,0,left,thumbout,200,81651,0.02445,2.119,1.0,"+0,+0",0,2,0 2,
Photo on 2026-08-11 at 13.24 #2,1,right,closedhand,255,121159,0.03628,0.998,0.993,"-2,+3",3,2,0 2,
Photo on 2026-08-11 at 13.24 #3,0,left,openhand,100,324267,0.09711,0.842,0.993,"-2,+0",2,2,1 0,
Photo on 2026-08-11 at 13.24 #3,1,right,thumbout,200,194604,0.05828,1.53,0.987,"-2,+0",2,2,1 0,
Photo on 2026-08-11 at 13.24,0,left,closedhand,255,160392,0.04803,0.862,1.0,"+0,+0",0,2,2 1,
Photo on 2026-08-11 at 13.24,1,right,openhand,100,297196,0.089,0.899,1.0,"+0,+0",0,2,2 1,
Photo on 2026-08-11 at 13.25 #2,0,left,thumbout,200,110813,0.03319,1.045,0.946,"-2,+0",2,2,0 0,
Photo on 2026-08-11 at 13.25 #2,1,right,thumbout,200,166138,0.04976,1.604,0.982,"-2,+0",2,2,0 0,
Photo on 2026-08-11 at 13.25 #4,0,left,openhand,100,246088,0.0737,0.789,0.975,"-2,+0",2,2,1 2,
Photo on 2026-08-11 at 13.25 #4,1,right,closedhand,255,133559,0.04,0.888,0.928,"+0,+3",3,2,1 2,
Photo on 2026-08-11 at 13.25,0,left,thumbout,200,80367,0.02407,2.531,0.989,"+3,-2",3,2,0 1,
Photo on 2026-08-11 at 13.25,1,right,openhand,100,288914,0.08652,0.717,1.0,"+0,+0",0,2,0 1,
Photo on 2026-08-11 at 13.26,0,left,closedhand,255,86889,0.02602,1.164,1.0,"+0,+0",0,2,2 2,
